model,epoch,train_loss,val_loss,val_mse_all,val_mse_masked
LNN_only,1,0.5523056396845346,0.7368722680886803,0.5251411077156543,0.7368722680886803
LNN_only,2,0.2488369804764516,0.7059481350172305,0.45750236889787477,0.7059481350172305
LNN_only,3,0.17680182625040156,0.6662985710091859,0.37648189723383163,0.6662985710091859
LNN_only,4,0.13616742318246733,0.4949747108120447,0.2690086860908949,0.4949747108120447
LNN_only,5,0.11092007857320374,0.33766278920093895,0.2423673956881015,0.33766278920093895
LNN_only,6,0.10022553110184537,0.29495366657842975,0.20973156486912164,0.29495366657842975
LNN_only,7,0.09420839179078745,0.27489795584441085,0.20557886524228408,0.27489795584441085
LNN_only,8,0.0899790967999217,0.25799948663049915,0.19997208858885376,0.25799948663049915
LNN_only,9,0.086473356474751,0.24814603367008867,0.187189024292885,0.24814603367008867
LNN_only,10,0.08426739148713408,0.23479526020657318,0.18578467416821173,0.23479526020657318
LNN_only,11,0.08122965115803052,0.22541652283665925,0.17526832455618482,0.22541652283665925
LNN_only,12,0.0803257058637193,0.22348731830429805,0.17766287493215072,0.22348731830429805
LNN_only,13,0.07825840640013443,0.21774844974290705,0.1744141103549104,0.21774844974290705
LNN_only,14,0.07725054493958301,0.21189990412412982,0.16317787900579112,0.21189990412412982
LNN_only,15,0.07596764030532664,0.20355122115498434,0.15545394070277707,0.20355122115498434
LNN_only,16,0.0746510767359802,0.20361792929749334,0.1510876936530604,0.20361792929749334
LNN_only,17,0.07369824746141604,0.20462644146303238,0.1522921756328864,0.20462644146303238
LNN_only,18,0.07312438067776014,0.19985576830299503,0.15116950159163053,0.19985576830299503
LNN_only,19,0.07154378303826112,0.19217472549220457,0.14913467463998056,0.19217472549220457
LNN_only,20,0.07089742734748243,0.19236546336985147,0.1508339742879748,0.19236546336985147
LNN_only,21,0.07024571767269105,0.19248980857223924,0.14950170310690372,0.19248980857223924
LNN_only,22,0.06940928460380917,0.18922137127775537,0.1490116136459013,0.18922137127775537
LNN_only,23,0.06899400746133583,0.18919448665355282,0.15004190025567815,0.18919448665355282
LNN_only,24,0.06876108156539439,0.18916107236609633,0.1450667141990971,0.18916107236609633
LNN_only,25,0.06800799484440616,0.18502930048261665,0.14342133853506164,0.18502930048261665
LNN_only,26,0.067967823220357,0.18462908836375488,0.14111216135268795,0.18462908836375488
LNN_only,27,0.06701809950012688,0.1840356331300533,0.14145257048049648,0.1840356331300533
LNN_only,28,0.06638774809392034,0.18334900935715093,0.14132999060042564,0.18334900935715093
LNN_only,29,0.06708629854460907,0.18291806613364855,0.14139318197489412,0.18291806613364855
LNN_only,30,0.0675177863278693,0.18273293974483085,0.14111500768394822,0.18273293974483085
LSTM_only,1,0.23399045491255346,0.5840825406609564,0.38500995676577227,0.5840825406609564
LSTM_only,2,0.10923519875873758,0.49794684453437127,0.2731777411283892,0.49794684453437127
LSTM_only,3,0.0693495957439984,0.3468379649042806,0.1735492899481201,0.3468379649042806
LSTM_only,4,0.047749129280367154,0.19675194344733477,0.11947540607390787,0.19675194344733477
